"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 28 07:47:47 GMT 2023","Wed Jun 28 07:47:48 GMT 2023","854","tests.test_ui","test_select_menu","TestSelect","","","test_old_style_select_menu","Test to verify the Old Style Select Menu on the select menu page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Wed Jun 28 07:47:51 GMT 2023","Wed Jun 28 07:47:52 GMT 2023","757","tests.test_ui","test_select_menu","TestSelect","","","test_multiselect_dropdown","Test to verify the Multiselect drop down on the select menu page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"broken","Wed Jun 28 07:47:22 GMT 2023","Wed Jun 28 07:47:22 GMT 2023","750","tests.test_ui","test_check_boxes","TestCheckBoxes","","","test_checkboxes","Test to verify the checkboxes on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:47:38 GMT 2023","Wed Jun 28 07:47:39 GMT 2023","1019","tests.test_ui","test_select_menu","TestSelect","","","test_select_value_dropdown","Test to verify the Select Value dropdown on the select menu page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:47:13 GMT 2023","Wed Jun 28 07:47:14 GMT 2023","860","tests.test_ui","test_buttons","TestButtons","","","test_rmb_click_button","Test to verify the functionality of the Right Mouse Button click button
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:47:09 GMT 2023","Wed Jun 28 07:47:10 GMT 2023","704","tests.test_ui","test_buttons","TestButtons","","","test_double_click_button","Test to verify the functionality of the double click button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:47:43 GMT 2023","Wed Jun 28 07:47:44 GMT 2023","968","tests.test_ui","test_select_menu","TestSelect","","","test_select_one_dropdown","Test to verify the Select One dropdown on the select menu page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:47:56 GMT 2023","Wed Jun 28 07:47:57 GMT 2023","841","tests.test_ui","test_select_menu","TestSelect","","","test_standard_multi_select","Test to verify the Standard multi select Menu on the select menu page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:47:26 GMT 2023","Wed Jun 28 07:47:28 GMT 2023","1912","tests.test_ui","test_practice_form","TestPracticeForm","","","test_practice_form",""
"passed","Wed Jun 28 07:47:17 GMT 2023","Wed Jun 28 07:47:18 GMT 2023","722","tests.test_ui","test_buttons","TestButtons","","","test_dynamic_button","Test to verify the functionality of the dynamic button

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:47:32 GMT 2023","Wed Jun 28 07:47:34 GMT 2023","1369","tests.test_ui","test_radio_buttons","TestRadioButtons","","","test_radio_buttons","Test to verify the radio buttons on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Wed Jun 28 07:48:01 GMT 2023","Wed Jun 28 07:48:02 GMT 2023","1541","tests.test_ui","test_text_boxes","TestTextBoxes","","","test_text_boxes","Test to verify the input fields and output form on the page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
